"time","shade_temp","microhabitat","site_id","Location","lat","long"
"2020-09-11 18:00:00",32.7599077951632,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 19:00:00",32.0997592105557,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 20:00:00",31.2147959731716,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 21:00:00",30.7417243885685,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 22:00:00",25.2893998601392,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-11 23:00:00",24.9249727425869,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12",24.6800529207858,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 01:00:00",23.8896996451197,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 02:00:00",23.4742273642633,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 03:00:00",23.3281618052948,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 04:00:00",22.9791518062958,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 05:00:00",23.6447495798391,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 06:00:00",24.4831313558223,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 07:00:00",25.0716609280498,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 08:00:00",25.4001993733762,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 09:00:00",25.5190883551435,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 10:00:00",25.6300294880636,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 11:00:00",26.066427564947,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 12:00:00",26.2600236674446,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 13:00:00",25.7544164152461,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 14:00:00",24.5369682116949,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 15:00:00",23.673984129991,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 16:00:00",22.6490756024171,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 17:00:00",22.1587233853997,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 18:00:00",21.8762579771914,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 19:00:00",21.7294835113432,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 20:00:00",21.8986825148405,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 21:00:00",22.1792132062144,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 22:00:00",22.5538670968238,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-12 23:00:00",22.7181300129222,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13",22.6785016202731,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 01:00:00",22.6536250747926,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 02:00:00",22.3971068594295,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 03:00:00",22.439816703281,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 04:00:00",22.5410572996782,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 05:00:00",24.2244110864997,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 06:00:00",26.1234794304631,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 07:00:00",28.287678743923,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 08:00:00",30.5468816032629,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 09:00:00",32.6323107346945,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 10:00:00",35.1504387979676,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 11:00:00",36.4917822835494,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 12:00:00",36.7864871053034,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 13:00:00",36.4108488429486,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 14:00:00",35.167944426631,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 15:00:00",33.6731092334325,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 16:00:00",32.3125174052294,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 17:00:00",30.4959664420783,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 18:00:00",29.378128579841,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 19:00:00",28.5863786294235,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 20:00:00",27.4349046732482,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 21:00:00",26.7458061335592,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 22:00:00",25.9517036221627,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-13 23:00:00",25.235531811659,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14",24.927257667615,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 01:00:00",24.1596064312637,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 02:00:00",23.8300503666362,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 03:00:00",23.5822858538529,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 04:00:00",23.6345615399819,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 05:00:00",25.5396296269461,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 06:00:00",26.3956948123447,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 07:00:00",28.2998194398143,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 08:00:00",30.7956078285753,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 09:00:00",32.7122907879555,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 10:00:00",35.0341520981757,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 11:00:00",36.469554157044,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 12:00:00",36.9150277799359,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 13:00:00",36.6017946005705,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 14:00:00",35.5777941195685,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 15:00:00",34.3077126952946,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 16:00:00",33.1692677473201,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 17:00:00",31.3145806817381,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 18:00:00",30.3391996327725,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 19:00:00",29.4966672144257,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 20:00:00",28.5674458136608,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 21:00:00",27.6899908151001,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 22:00:00",26.8922085239633,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-14 23:00:00",26.4507081770918,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
"2020-09-15",26.0523742864784,"shade","Rock_L_M_1_S","Mishmar",31.380861,35.381361
